;class;question
468;RANG;Hello, when will the official order of admission of applicants to the number of students in the target set? and until what time can pick up the documents?
469;ORG;Hello. In the order and acceptance by the target set I was set, that is, did. Now what I need to do if you need ?
470;RANG;Please tell me some points necessary for admission, while the target set?
471;ORG;Tell me,please.if I write a letter of dismissal at his own request,while on target,do I have to pay for 1.5 years of study?
472;ORG;Hello! Please specify where You are studying. You walked according to the target set from the school or from the DIC?
473;ORG;Hello,tell,whether has the right the citizen came from out of town i.e. not Moscow or Zelenograd,with the target direction,to participate in the competition for target collection?
474;ENTER;Hello! I graduated high school in 2011, will I be able to do again based on the target direction?
475;ENTER;Hello. how many target seats is usually provided for one faculty of the University? and what if I will file in the lists received by the target direction? thank you
476;ORG;can target to exceed the budget places in the faculty??
477;ORG;Hello! My question is in which cases may be transferred from one institution to another,if I am on target direction?
478;ORG;Please tell me, I'm on target if I'm kicked out of the Institute, I need to return the money for tuition??
479;ENTER;and in 2013 will have to sit the social studies the faculty of foreign languages?
480;ORG;Hello. Tell me, please, on the target set can receive only the residents of Zelenograd?
481;RANG;Hello! I am interested in what is the competition tselevikov, and what happens? Thanks in advance.
482;ORG;Hello! Please tell me in 2013 rules for the target set are the same? still on July 30, I will be able to learn I enrolled or not?
483;ORG;Hello! if the target direction at one place only one person sent to the medical institution and the medical education you still need to pass the exams ?
484;ORG;If the Ministry of education has allocated for the organisation specifically for me a budget place, what about the competition? the company has already paid the money for my place, but does it mean that the decree should hold a contest?
485;ORG;how is the competition in the target areas?
486;ORG;Hello!Where to learn about the target set for 2014?Where the lists are formed in Zelenograd?Thank you
487;ORG;1. If I apply for target direction, can I also apply to the other 5 Universities on a common basis? 
488;ORG;Hello! How to get target direction for 2014? (want to know more about the target set),Where the lists are formed and to what number? Thank you
489;ORG;Hello! Please tell me what you need in order to get to the target learning? Is there a list of organizations that send students of MIET? Do you have any open days, tours for such enterprises?
490;HOST;But interestingly, Muscovites can apply for the hostel?
491;HOST;Good evening! Is there a hostel for the direction of the Management faculty of Lineup?
492;HOST;good evening. please tell me in the direction 09.03.01,10.03.01,11.03.02 the hostel? how far is it from the University? and is there a kit for these purposes? we live in the Krasnodar region plan to send documents by mail. but very worried whether they will reach up to you. explain clearly how you are running a Department on work with letters and documents. thank you.
493;ORG;What are the dimensions of scholarship?
494;ORG;Hello, what is the situation with employment during educational activities? no matter how well it is seen that such a stipend to survive would be problematic. thanks in advance)
495;ORG;Hello, please tell me whether scholarship students are accepted on the target set?
496;ORG;Hello.In what terms need to provide a certificate to obtain social scholarships?
497;ORG;Hello.Recently came in the mail a notification that I received.Where you need to submit this certificate?
498;HOST;Hello.. I was on the list recommended for enrollment.(204 points) will I have a Dorm? I'm a nonresident. Sincerely, Gleb.
499;PRIV;If points do not go to the Dorm,are there any benefits to socially unprotected categories of citizens.Mother retired and she has two of us dependents.Or is it better to pick up the documents?
500;HOST;Hello.. I was on the list recommended for enrollment.(239 points) will I have a Dorm? I'm from out of town... and how much do with a dormitory this year?
501;HOST;Hello, wanted to know if closer to the 4th August ostanutsa place in a hostel if I have chance to get number of points 163 faculty of ATMA originaly already in the Miata? Do I need a second to fill in statement No. 2? Won't be late? 
502;HOST;I have 202 b. Come on POS. Will there be a place in the Dorm?
503;HOST;Hello,Dmitry.Tell those who did not get into the Dorm you still need to get up for military service in Zelenograd?If Yes, then what about registration?Find owners willing to make registration difficult and for the military it is needed.
504;HOST;How many people are accommodated in 1 room? Namely, in 15 the case for students Nick?
505;HOST;Hello. Tell me, please, for settlement in obschezhite need more honey. help (besides 086)?
506;HOST;I expect in a hostel. Will it be possible to be discharged from the former address of registration remote control, when I, already being in Zelenograd, will be credited to the hostel?
507;HOST;Please tell me what Dorm furniture? How to repair? Peardoc? Kitchen,shower,toilet designed for soklko man?
508;HOST;Hello.I would like to know whether it is possible to check with a friend in a room for 2 people?if we entered different departments(POS EITC).
509;HOST;Hello, how many people in the room Lodge on the MP?
510;HOST;Hello, I am interested in this question, whether you stay in a commercial hostel, that is not by 4-5 people, and 2, for an additional fee?
511;HOST;what time can settle in the dormitory?
512;HOST;Good day! Please answer, this is exactly what all the public sector 1 course (Mtitc) will get a Dorm?
513;HOST;When will be the order of the allocation space in the Dorm?
514;HOST;When will be the order of the provision of the Dorm masters?
515;HOST;And how is the settlement? Boys and girls on different floors?
516;HOST;Which generally is in the rooms? what to take except myself and personal belongings 
517;HOST;Hello, are all the dorms the same comfort, maybe there are some more expensive, but the conditions are better?
518;HOST;Sorry, but the cabinets for each person separately or triple one big closet?
519;HOST;What additional information about the hostel you need to know in admissions to residents of the Moscow region?
520;HOST;Specify, please, information about the provision of hostel: mo is not available? I live in mo for 300 km from the Institute to get 4-5 hours with transfers. Promised that the hostel gives.
521;HOST;And need something to pay upon arrival?
522;HOST;And what is a hostel? Block type or the bellboy?
523;HOST;Good day! Please answer , do I need to check out of the place of permanent residence for nonresident students to obtain temporary registration in the Dorm?
524;HOST;Good day! For living in hostel you need 4 photos. What format?
525;HOST;If I lived in the building number 9 in a room *** when I was a bachelor, and now enrolled in master - room *** it remains for me? or does it have somewhere to call to find out?
526;HOST;And you need to bring your own computer or have some kind of computer class?
527;HOST;And when you check in just go to the Dorm? Could you tell me the address please)
528;HOST;Good day! Could You give a link to the orders you check into a hostel? Orders for admission be seen, and orders the settling - no.
529;HOST;Hello,can we check-in one room,if friends and I are going to study at different faculties?
530;HOST;When will the orders for the provision of the hostel arrived in the second wave?
531;HOST;Hello! We entered the MIET in Proverbs, where there is no hostel. Can we go and where by request we (still) like that? Thank you.
532;HOST;Hello. What documents and how much money you will need to bring to settlement? The question as off-top, so as not to write a second message: what number works the Dean's office Mpicc and whether the opportunity to go to College,to get help, to get a student ticket?
533;HOST;What time is best to call the commandant of a hostel? We can't get.
534;HOST;Hello! Agree to make the temporary registration is not easy. Students who have not provided the hostel (prit) it is helpful to rent a home, and not everyone will agree to grant temporary registration. The provision of places on Campus, it is clearly stated that by 1 September these students will begin to deduct. Agree it is not very nice. Or I something do not understand? 2 weeks before initiation, and we are not-that registration, we have the apartment (room) can not find. Maybe with not so scary????
535;HOST;Neither phone is not answered. What documents do I need to check into a hostel? Passport, military ID, photo 4 PCs., help 086. Need anything else?
536;HOST;I would like to move into a Dorm of 24 however my reference(at-086) will not be ready until 30-31. Can I arrive without a certificate?
537;HOST;Good evening. Fee for the hostel from September to January, like, five months. Pay 3500 or 3000 RUB?
538;HOST;On account of removal from the military registration in the military enlistment office said that we need the exact address of future residence.If I could settle in the case of another faculty?
539;HOST;Hello! If I get into your Institute in 2016, will I have a Dorm, if I choose the faculty of its Construction and technology of electronic means? I'm from Smolensk region.
540;HOST;Good afternoon. Prompt please, whether will be granted places in the dormitory after a paid training?
541;HOST;Hello,when you receive more accurate information on the provision of hostels for postpay the faculty of design?
542;HOST;It turns out that the faculty prit no hostel?? 
543;HOST;Good day! tell me, is there a dormitory residents of the suburbs? living in the Pushkin area, i.e. on the other side of Moscow
544;HOST;I have the same issue, the announcement of results of competition for places in hostels will be in the same terms as on the receipt?(faculties POS Nick, ATMO)
545;HOST;Hello. Please tell me a place in a hostel MIET rasperedelenie in proportion to the number of budget places in the faculties?
546;HOST;Do you have pay if they do give phone and details ??
547;HOST;C what is a discriminatory restriction of the provision of hostel for students at preet? Unlike Nick here is the exam in physics seems the exam on Informatics and, therefore, it does not close the degree and direction as You say in the reply DM.Kovalenko above...
548;HOST;Hello,if I want to go to Ineup,but I live very far from Zelenograd..more than 600 km...will give me a Dorm room or I will have to look for housing?
549;HOST;You can find passing scores 2010. with the hostel?
550;HOST;Hello! Going to do the design in your INSTITUTION. I, as a nonresident will have a place in a hostel? And is the only hostel in the aisle on a budget? A student on a commercial basis it is not provided?
551;HOST;Hello! Please tell me, can a married couple get a room in the Dorm, studying at Preity and Design? On the budget of the Tver region.
552;HOST;And you can see the list of faculties, students are provided a hostel?
553;HOST;Is it possible to Dorm studying Applied computer science in 2015? Was at the open day on 19 April, and they told me that the hostel can get (if you stay after the issuance of faculties), but the information on the website and the forum says otherwise. Help to understand, please.
554;HOST;Hello. Want to the faculty Prov. Currently live in the Volgograd region. Please advise what best to do with accommodation. Should we expect that some places in the dormitory will remain?
555;HOST;How many points are required to provide dormitories for the faculty Nitk?
556;HOST;And if not to register in the dormitory (not to pass him the competition ) ,it will be necessary to make the residence in the Moscow region , Moscow , Zelenograd?
557;HOST;Or regardless of the passage to the hostel I will check?
558;HOST;Hello! Agree to make the temporary registration is not easy. Students who have not provided the hostel (prit) it is helpful to rent a home, and not everyone will agree to grant temporary registration. The provision of places on Campus, it is clearly stated that by 1 September these students will begin to deduct. Agree it is not very nice. Or I something do not understand? 2 weeks before initiation, and we are not-that registration, we have the apartment (room) can not find. Maybe with not so scary????
559;HOST;Hello! Do I need to bring pots, kettles, and other utensils for cooking?
560;HOST;Hello. Tell me a place in a hostel is already pre-allocated or for each need, so to speak, to arrive as early as possible to get busy some place else?
561;HOST;Can I use microwave or electric kettle?
562;HOST;Possible bike storage in the Dorm? And where. Probably the rooms do not have enough space.
563;HOST;A question, not about the hostel, but still please answer. I know in many universities in the last decade carried out the first and second Assembly departments fill the documents for a student card and so on. Tell me,in the Miata such meetings were held, I just about them not even heard?
564;HOST;Hello, and settling time can be parents to live in the Dorm??
565;HOST;Hello. Entered at the POS. When checking where to go? What's the address?
566;ORG;a student card when will be issued?
567;HOST;Hello, what number starts moving into the hostel and what documents should be with him for him to take?
568;HOST;If I come from a large and poor family, I rely any benefits associated with the hostel?
569;HOST;Hello. If we get 24 in the second half of the day, you have time to check in to the hostel? hours inhabit?
570;PRIV;Hello. Tell me, what are hostels live the guys from the faculties of electronics and nanoelectronics, computer science and Design and technology...? I mean the hull number.
571;HOST;Is there a hostel for the students of the faculty of foreign languages?
572;HOST;Can I get the hostel, not having a registration certificate?
573;HOST;before zapaleniem in the hostel if you need to pass additional tests (e.g. for HIV, etc.) except help 086у?
574;HOST;Hello, I entered the magistracy, the hostel gave me. the problem is that I have a little child of 5 months, will it be possible to borrow or the whole room or rooms for a family if any? if you take the whole room(for 2 people) I would have paid more for this place. child I leave somewhere for the duration of the training can't because he is still very small.
575;HOST;If I check into a hostel, it would give me a temporary registration, and after some time(a month, for example) I decide to move to a rented apartment, what happens with the registration?
576;ORG;Is it possible in the Miata to study simultaneously at two faculties?
577;ORG;Dear Dmitry! Good day, daughter loves math.....Do You know suddenly whether Universities and departments without mathematics? If there is...maybe not one...I would be grateful for information in any available form(transactional mobile..etc...)
578;ENTER;Hello) does MIET, FACULTY of LAW? WHEN YOU BEGIN WORKING ADMISSIONS IN 2012? HOW MUCH IS THE TUITION STUDYING LAW. THANK YOU FOR YOUR ATTENTION)
579;ORG;Good day!Does your University travel abroad destinations,specialty?Is there a master's degree in eg.Information security?Thank you.
580;ORG;Hello. I have a question: please tell me if I can enter some 4 subject(e.g. computer science) in addition to the Russian language, mathematics and physics for faculties Mpicc, POS as entrance test for admission in MIET in 2013? If so, when it will be possible to know?
581;ORG;Hello, prompt please, whether there is accreditation of the faculty of Design?
582;ORG;Hello. You can find out what the results of the exam are considered for admission to the faculty of the Institute of Economics , management and law?
583;DOC;Hello. Can I apply for admission in electronic form?
584;ENTER;what subjects I must take ?
585;ENTER;Whether the relevant math ?
586;RANG;Tell me, please, how many points need to go on medical Cybernetics
587;HOST;Is there a dormitory?
588;HOST;What is the price?
589;ORG;What size scholarships?
590;DOC;prompt, please, where can I see the list of documents required when applying for admission?
591;DOC;And what is the last day for receiving statements by email.mail?
592;ORG;where you do your field training?
593;ORG;Whether the second pair of shoes?
594;RANG;And when the order for enlistments will be released?
595;RANG;Please tell me when is enrolment?
596;ENTER;you can clarify the cost of education to order at 4 courses?
597;ORG;it is possible to know the exact number of days of open doors
598;ORG;do you have a master in programming?
599;DOC;Where the application form for admission to PSTU download?
600;HOST;And at the time of admission tests nonresident applicants are provided with housing?
601;ORG;When you have the next day open door?
602;RANG;Where can I find an accurate list of applicants
603;ENTER;how many 5-August enrollment will be?
604;HOST;a number settled in the Dorm?
605;ENTER;How is the payment made?
606;ORG;And generally, it is difficult to learn?
607;ENTER;what you need to graduate on management?
608;DOC;do I need a certificate of results of unified state examination for admission this year?
609;ENTER;what are the subjects necessary for admission to the Department of chemistry and biotechnology?
610;RANG;A chance to go for electrical with 162 points?
611;ORG;Saturday documents accept?
612;ORG;in the many, will be a meeting about enrollment
613;HOST;when you check in
614;RANG;How many points should the mining and oil faculty
615;RANG;approximately how many points have on the budgetary position
616;RANG;Please tell me how much this year the minimum score for admission to PNRPU
617;ENTER;Is there any budget places the correspondence Department of the specialty Information systems and technologies
618;ORG;Hello,tell me when will the open day?
619;ORG;Please tell me is it possible to study part-time for free?
620;ORG;is it possible when submitting the original to change the priority?
621;ORG;the students of some faculties are learning on the complex?
622;ENTER;When will be admission?
623;ORG;For admission to come?
624;ORG;the first day will the lecture?
625;ENTER;what are the rates in the Humanities?
626;ENTER;Is it possible to pass the entrance exam or the exam in your University?
627;ENTER;Is it possible for admission to take the social studies?
628;ORG;Whether you pay the Governor's scholarship at Polytech?
629;ORG;and how many governors?
630;ORG;It is difficult to study in the faculty of applied mathematics and mechanics?
631;ORG;The University is the established form of clothing?
632;ORG;When you will conduct the open day?
633;ORG;How to check term paper for plagiarism?
634;DOC;do I need a medical certificate?
635;ENTER;What exams you need to pass in order to enter the oilman?
636;PRIV;How many points are added for a certificate with honors?
637;ENTER;Is there any entrance test in addition to the exam?
638;DOC;Do I need a photo x-rays for admission in Polytechnic?
639;DOC;What documents needed to apply?
640;RANG;What is the probability to do on a budget?
641;ORG;Hello, is the direction of the PERM machine tools?
642;HOST;Hello, how do you have dormitories?
643;HOST;Hello,how much to pay for a hostel?
644;DOC;To what number is the reception of originals on a budget?
645;DOC;can August 1, bring the original or it is impossible?
646;ORG;Hello,on a contract basis, too, is a contest for points?
647;DOC;and was necessary to carry for admission?
648;ENTER;Do I need to take biology for admission to the chemistry Department?
649;ORG;Do I have the second of August for admission to attend?
650;ORG;it will be difficult for the ETF to learn?
651;ORG;Tell me, how long will the installation session by students?
652;ORG;Hello, when first-year students will receive test books?
653;DOC;the faculty of management do I need to provide a medical certificate?
654;ORG;Where to get ucebnici?
655;ORG;The day will start to operate the system throughput?
656;ORG;Is there any information on open days?
657;ORG;And when will the open day or have been?
658;ORG;Tell me where you can see the information about the second highest?
659;ENTER;If the enterprise, the importance of entrance exams?
660;ORG;how much are the prep courses?
661;ORG;Tuition the parent capital is possible
662;ENTER;Please tell me the entrance exam you can take admission?
663;HOST;Hello. And at the time of admission tests nonresident applicants are provided with housing?
664;ORG;Hello, you can find out whether this year's set of specialty Economics and management at enterprises of oil and gas industry in the correspondence?
665;ORG;when you have the next day open door?
666;ORG;What areas of the magistracy is in high school
667;DOC;what documents do I need to provide to enroll?
668;RANG;What is a passing score on the electrical engineering faculty?
669;DOC;What documents are needed for admission to your University?
670;DOC;When is the submission?
671;ORG;Where will I work?
672;ENTER;How is the exam in the master degree and whether he
673;ORG;in any assessments the student may receive a scholarship?
674;ORG;Will I learn from the complex?
675;ENTER;How much is the cost of a semester of study in the direction?
676;RANG;What is the passing score for each direction?
677;ORG;Do you have any teachers?
678;ORG;Is there a Parking space?
679;PRIV;Whether playing the role of assessment in the bachelor's degree for admission to master's degree
680;ENTER;how many directions I could go with a set of subjects (Russian, mathematics, computer science)?
681;RANG;Where to watch the rating?
682;ORG;Where to find the list of disciplines in my direction?
683;DOC;What documents are needed for admission?
684;ORG;Tell us about College life
685;ENTER;how are budget places in the faculty?
686;ORG;Is there a military Department?
687;ENTER;What subjects do you need to take to do this?
688;ORG;How many different directions can apply?
689;DOC;In what terms do I need to apply?
690;DOC;How many documents should you submit?
691;DOC;What documents should you submit?
692;DOC;How to apply?
693;ORG;What's the address of the admission Commission?
694;DOC;What time can I apply?
695;DOC;Can I submit the documents personally, if I am under 18?
696;DOC;Do I need notarized copies of documents?
697;DOC;Can I apply, when we know the results of the exam?
698;ORG;I want to apply for pay and budget at the same time, can you?
699;DOC;Whether it is necessary together with documents submitted photos?
700;DOC;Do I need to provide the admissions office with the documents of military registration certificate or military ID?
701;DOC;May affect my admission, how early I can file?
702;DOC;May affect my admission, I will give the original before others?
703;ENTER;When will be the exams?
704;ENTER;What exams you need to pass?
705;RANG;How many points you need to score to get on a budgetary place in my program?
706;RANG;How many points you need to score to get paid a place on my program?
707;ORG;Is there a contest for a paid Department?
708;ENTER;What is the cost of training?
709;ENTER;There many budget places?
710;HOST;Is there a Dorm
711;RANG;Passing on streak
712;RANG;In the construction Department passing
713;ENTER;When opening
714;ENTER;What entrance to ASU
715;ORG;The phone number of the training Department of ITAS
716;ORG;Hours of the office of admission
717;DOC;What documents are needed for admission
718;ORG;How much is the schnitzel in the dining room?
719;ORG;What areas of the magistracy is in high school
720;DOC;what documents do I need to provide to enroll?
721;RANG;What is a passing score on the electrical engineering faculty?
722;DOC;What documents are needed for admission to your University?
723;DOC;When is the submission?
724;ORG;Where will I work?
725;ORG;Is there a need for this direction?
726;ORG;Will be useful if the knowledge of this profession later in life? 
727;ORG;What will I study?
728;ORG;How many areas can I apply?
729;ORG;Will I demanded a specialist, if you get a degree in this area?
730;HOST;If the Dorm
731;RANG;What is the passing score
732;ORG;Does the Department of interest with any organizations for the further employment of graduates?
733;ORG;What are the prospects after graduation?
734;ORG;Where exactly can I find a job after graduation?
735;ORG;I'm it by profession, having graduated from this area in your University? 
736;ORG;What are the prospects of this direction ?
737;ORG;Position in life
738;ORG;How many years does it take to train?
739;ORG;How popular is the chosen direction?
740;ENTER;The increase is the cost of training?
741;ORG;What are the prospects in your field?
742;ORG;Whether it will be in the process of learning to move from full-time to distance learning and Vice versa? 
743;ORG;How much will be my salary in the future?
744;ORG;Good toilets, or holes in the floor?
745;ENTER;How is the exam in the master degree and whether he
746;ORG;if any student can get a scholarship?
747;ORG;Will I learn from the complex?
748;ENTER;How much is the cost of a semester on the ... direction?
749;RANG;What is the passing score for each direction?
750;ORG;Do you have any teachers?
751;ENTER;What is the cost of training?
752;ORG;Is it difficult to find work in the specialty after graduation? 
753;ORG;What will I be after graduation?
754;HOST;How much is the hostel?
755;ORG;What science is studied in this direction?
756;ORG;How popular specialty in the labor market
757;ENTER;How many budget places
758;ORG;What is the average salary of students of this area after graduation?
759;ORG;How to choose a topic for research,to after handy work?
760;ORG;How to get a higher scholarship? 
761;ORG;Does your UNIVERSITY international diploma?
762;ORG;How to learn ?
763;ORG;Anyone see themselves in the future 
764;ORG;Which subjects will I study?
765;ORG;Is there any assistance in finding employment upon graduation?
766;ORG;Can I get an internship in companies during training 
767;DOC;What documents must be collected for admission ?
768;ORG;When it comes to the budget whether freshmen scholarship, if Yes, to what number? 
769;ORG;Profession relevant?
770;ORG;Is there a Parking space?
771;PRIV;Whether playing the role of assessment in the bachelor's degree for admission to master's degree
772;ENTER;how many directions I could go with a set of subjects (Russian, mathematics, computer science)?
773;RANG;Where to watch the rating?
774;ORG;Where to find the list of courses in the direction?
775;DOC;What documents are needed for admission?
776;ORG;Tell us about College life
777;ENTER;There many budget places?
778;RANG;What is a passing score on the specialty? 
779;ORG;Where will the classes be held?
780;DOC;The filing deadlines?
781;ORG;Does the UNIVERSITY the opportunity to do an internship in real companies for senior students?
782;ORG;If failed to score on the initially chosen direction, whether it is possible to shift documents to another direction, where the shortfall
783;ORG;How to find out about enrollment
784;ORG;The ratio of number of students admitted to the count ended, i.e. what percentage of students do not reach the end
785;ORG;How to search for employers and will I be given support from the University?
786;ORG;Why get a master's.
787;ORG;Can I easily find a job after graduating your University?
788;ENTER;How much to pay ?
789;ORG;That the University can give to achieve the objectives
790;ENTER;How much budget?
791;ORG;Are there any problems with accreditation of the University?
792;RANG;What are the chances of my admission? 
793;RANG;What are my chances to do on a budget?
794;DOC;Do you need a medical certificate for admission to the University? 
795;ORG;Teachers are good?
796;ORG;If we are going to study on Saturday?( and then on Friday is a sin not to take on the soul), are there beautiful girls in high school?(to give)
797;ENTER;how are budget places in the faculty?
798;ORG;Is there a military Department?
799;ENTER;What subjects do you need to take to do this? How many different directions can apply? 
800;ENTER;The cost of training?
801;ORG;What greater emphasis on greater theoretical base, or a narrow practical skills?
802;ORG;Why not pay a scholarship to the student with one 3? 
803;ORG;What percentage of students reach the diploma?
804;ORG;Why is mountain-oil faculty the best ?
805;ORG;Is there a canteen?
806;DOC;Hello! What are the results of the exam are considered for admission to Ineup ?
807;ENTER;How to do Polytechnic for extramural studies, if finished 9th grade, and no diploma SPO? 
808;ORG;Hello, I saw in the section on the website PNRPU What profession to choose the profession of engineer-economist in the field of innovation. In this section it was said that to qualify for this profession you need to study at the Humanitarian faculty profile-the Economics of innovation. But in General tables, such direction is not. Tell me, please, whether the direction, if not - then is it possible to get this profession on another faculty, PNRPU? 
809;ENTER;Good day, tell me I finished school in 1999, CSE, accordingly, did not pass, how can enter the Oil and gas business? Are a combat veteran, whether this status when you receive some credit for entering? 
810;ENTER;Can I enroll in the correspondence Department? 
811;ORG;Hello!Does your University military Department?If Yes,which ones and what a passing grade was in 2018? 
812;ORG;Is it possible to take a leave of absence in connection with the loss of a close relative? 
813;ORG;Good evening! Please tell me when will the open day for school children? 
814;ORG;Hello. Interesuet this direction. 15.04.02 Technological machines and equipment. Machines, equipment of chemical plants and oil and gas processing. The question is, even with the few issues. 1. I finished pgskha in 2015 ( in no way connected with the direction of Technological machines and equipment), can I go to graduate school in 2019 when enrolled? 2. Are there any industrial practice in the master (and how to find it?) 3. Where to get information (questions) interdisciplinary exam? Thanks in advance for your answer (20.10.2018) 
815;ORG;Please tell me, will there be another open day at PNRPU, except the 25th of November? For example, in the spring? Unfortunately, on 25 November I will not be able to come, and very important to me the University! 
816;ORG;Good day! You when will the open day? 
817;RANG;Good evening, please tell me the minimum passing score on the mathematics profile in order to enroll in the personnel management by correspondence? 
818;ORG;Good evening, can I study in the same faculty for 2 specialties in parallel?(at the same time) 
819;ENTER;Good day, can I come to you after grade 9? 
820;ORG;When the open day? 
821;ORG;Are there any Olympics UNIVERSITY? 
822;ENTER;How can I find out the number of budget places? Easy to navigate very difficult, a lot of information. 
823;ORG;Is there a military Department not to go to serve in the army? 
824;ENTER;Good evening, is it possible after College to do on a budget by passing an internal exam on Applied Geodesy? Still hurts me to this question, however , that girls may not take this course? 
825;ORG;Hello! Tell me when will be held the days of open doors of all the faculties? 
826;RANG;Whether the budget places in 2019 specialty advertising and public relations and linguistics and what is a passing score? 
827;ORG;Hello! Tell me, please, whether there is at your University's distance learning programs in the specialty Standardization, Metrology, or anything related? I work as a technician in the service of Metrology, it is necessary for the development of higher education. There is, Orient, please, what are the conditions and terms of admission? Thank you 
828;ENTER;In the list submitted to 2018 in the areas of Information systems and technology and Software engineering includes such entrance exams like physics, Russian language and mathematics, but on the pages http://pstu.ru/enrollee/speciality/faculties/etf/ and http://pstu.ru/enrollee/speciality/faculties/fpmm/ listed computer science, mathematics and Russian language, and in addition in the document http://pstu.ru/files/2/file/adm/abiturientu/priem2019/VO_Pravila_priema_2019_s_prilozheniami.pdf appear these things. It's a typo or 2019 will be set on computer science, Russian language and mathematics? 
829;ENTER;for admission to correspondence form of training you need to pass the exams? 
830;DOC;Good afternoon. Daughter goes to College next year. Is it possible to submit documents in correspondence (via mail or email)? 
831;DOC;Enough of the results of the exam for admission to Gempak? 
832;ENTER;Hello. Please tell me , can I come to you after distance learning ( SPO ? 
833;ORG;Hello. my son is studying in the 11th grade, he is confined to a wheelchair, is going to come to you in a special quota for linguistics, translation and translation studies. is it possible to receive a higher education in Your Institution, with a minimum number of trips from home (as a huge problem to bring)? is there accessible environment in buildings for persons in wheelchairs? are there any distance courses for applicants? thank you. 
834;ENTER;"Good day, graduated from the Perm construction College in the profession,the organization and reconstruction of buildings and constructions"". Can I do the civil engineering Department no re-exam or entrance? "
835;ENTER;Good afternoon. Please tell me, is it possible to transfer from another institution? 
836;ORG;Good afternoon,I would like to ask,but you have the faculty of chemical technology of organic substances? 
837;ENTER;Hello,can I transfer to biotechnology with chemical technology?What are the conditions if anything? 
838;ENTER;Will there be a place on the Economy in 2019? 
839;DOC;Not passed on time photos for admission, now the grade book is ready, but my photo exactly Where to bring photos, in the Dean's office at the complex, where the issue suteki or somewhere in the main building? 
840;ENTER;How much are the prep courses? 
841;RANG;Where to watch the passing scores? 
842;ENTER;Relevant whether the samples of the entrance exams conducted by the pnrpu which are publicly available on the website? All of tech. specialty needed specialized mathematics and its trial no. 
843;RANG;How is the competition inside the direction on the economy? 
844;ENTER;Hello, I study AT PNRPU at the aerospace faculty, full-time(4 year, budget). May I in absentia to enter the mining and petroleum Department and will be trained in two specialties at the same time? 
845;PRIV;Hello! Son is studying at FCT under contract with Metapraxis. Can he get the social allowance, because the family is poor? 
846;ENTER;Is it possible to transfer in the first year, after the first session or need to wait for the end of the first year? Transfer is scheduled for the same specialty. From Almetyevsk State Oil Institute in PNRPU 
847;RANG;Hello,where can I find information how goes the contest inside? 
848;ENTER;Is it possible admission to pnrpu diploma of secondary specialized education (College) without passing the exams, the exam? 
849;ENTER;What core subjects need (use) for admission to the designer (Department of Design, graphics and descriptive geometry (DGNG))? 
850;ENTER;Hello, And where you can find up to date information about job vacancies? On the website the information is only for 2017 
851;ENTER;Good afternoon. I would like to know how the entry is made at the construction faculty of your University after studying construction in College (training for 3 years and 10 months.) and at what rate? 
852;ENTER;Man 25 years. Behind the College prof finished. Wants to enter University in absentia. What you will need to pass an internal exam do you have? And where you can see some around there job will be to prepare. Thank you. 
853;ENTER;Hello, I graduated from construction College in 2002, can I apply for civil engineering faculty on accelerated learning (correspondence)? 
854;ENTER;Whether at the Polytechnic College where you can go after grade 9 ? 
855;HOST;Hello , where to go to apply for a place in a hostel ? I am poor ,the housing problem,(registered in Perm ,but place of residence not living) , is there any chance to get a place in the Dorm ? studying full-time 
856;ORG;Good afternoon. When you can get your student ID and the gradebook? Electrotechnical faculty, correspondence Department. 
857;ORG;Hello! is it possible to do this separately at the military Department? what sort of training and what is needed(or a resource where can be found). 
858;ENTER;Good day! Please tell me is there any opportunity to apply for extramural studies this month(September)? Thank you. 
859;ENTER;Good day! Is it possible to recover 2019году on the correspondence form of training on the mining and petroleum Department,special th OPERATION if studied in full-time education and was expelled in 2011(diploma of incomplete education 2.5 courses)? 
860;ORG;Please tell me,to receive the Governor's scholarship in the amount of 5750 rubles at the faculty of Chemical technology, more than 225 points ( student 244), or stipend paid automatically? Shouldn't the student to go somewhere else? I, as a mother of a student who is worried not to miss the timing of an application or applications. 
861;ORG;Hello, this year took the matriculation exams, but the original documents did not have time to bring. There is a possibility to do that? 
862;ENTER;Hello, is it possible to enroll in full-time studies at the Department of Road transport on the car service if you have SPO mechanical technician for maintenance of vehicles? 
863;ORG;Why is a personal account of the student? 
864;ENTER;Is it possible to enrol on distance learning Marketing, if there is a SPO sales Manager without taking the exam? 
865;DOC;To what number should apply for distance learning? 
866;DOC;Hello, where can I see the order for reinstatement to full-time studies? 
867;HOST;What is the probability to move from one dormitory to another and how to do it? 
868;ENTER;Hello. Tell me the results of the exam what are the subjects necessary for admission to industrial design? 
869;ORG;When and how to get a scholarship first-year students? 
870;ENTER;I'm studying full-time Now in October I'm going into the army and take Akadem, whether a year will recover and go to person in absentia? 
871;ORG;Hello! And sanatorium-preventorium paid or not? 
872;RANG;Hello. When you can see a list of groups? 
873;ENTER;What subjects needed to pass the exam for admission to the faculty 10.05.03? What is the minimum exam score necessary for admission? The subjects to pass the exam coincide with the entrance exam? 
874;DOC;What documents are needed for recovery? 
875;ENTER;How much are the courses ? 
876;ORG;Where and when can I get a student card? 
